Store,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment,Year,Month,Day,DayOfWeek
9,519823.3,False,49.96,2.771,215.4372854,6.56,2010,11,19,4
11,1757242.51,True,69.9,2.735,215.0614025,7.564,2010,11,26,4
1,1641957.44,True,38.51,2.548,211.2421698,8.106,2010,12,2,3
8,994801.4,True,33.34,2.548,214.6214189,6.299,2010,12,2,3
8,860336.16,False,49.76,2.638,214.7492449,6.299,2010,12,3,4
2,1916812.74,False,59.69,2.728,211.6608975,8.163,2010,12,11,5
5,301827.36,False,62.37,2.954,212.5604113,6.768,2010,12,11,5
20,1799737.79,True,28.85,3.179,204.6432267,7.484,2010,12,31,4
6,1572117.54,False,59.61,3.045,214.7775231,6.858,2011,2,18,4
15,695396.19,False,69.8,4.069,134.8551613,7.658,2011,3,6,6
13,1807545.43,False,42.38,3.435,128.6160645,7.47,2011,3,25,4
14,1879451.23,False,41.76,3.625,184.9943679,8.549,2011,3,25,4
19,1266564.94,False,33.26,3.789,133.9587419,7.771,2011,3,25,4
6,1639358.93,False,74.24,3.807,217.0146941,6.855,2011,4,22,4
1,1624383.75,False,91.65,3.684,215.544618,7.962,2011,5,8,6
5,290930.01,False,77.38,3.899,216.5343611,6.489,2011,5,13,4
7,414094.05,False,36.61,3.767,192.826069,8.595,2011,5,13,4
16,435397.19,False,43.95,3.828,192.831317,6.339,2011,5,20,4
4,2008344.92,False,81.85,3.57,129.0663,5.946,2011,6,24,4
14,1864746.1,False,34.32,3.193,182.5983058,7.659,2011,7,1,4
2,1758050.79,False,44.69,2.976,211.0648881,8.028,2011,7,1,4
14,1953544.76,False,78.47,3.76,186.1399808,8.625,2011,7,15,4
4,2036231.39,False,82.84,3.627,129.1507742,5.644,2011,7,22,4
5,275142.17,False,89.42,3.682,216.0464364,6.529,2011,7,29,4
4,2066541.86,False,84.59,3.469,129.1125,5.644,2011,8,7,6
8,895066.5,False,82.92,3.554,219.0701968,6.425,2011,8,19,4
7,629994.47,False,57.6,3.485,194.3796374,8.622,2011,8,26,4
13,1847430.96,False,63.6,3.648,129.5183333,6.877,2011,9,23,4
3,365248.94,False,80.19,3.467,219.7414914,7.567,2011,9,23,4
19,1467473.63,False,68.26,3.382,134.9425484,7.658,2011,10,6,3
5,311906.7,False,60.71,3.297,218.5699621,6.3,2011,11,11,4
1,1539483.7,False,62.25,3.308,218.2205088,7.866,2011,11,18,4
3,398838.97,False,63.91,3.308,221.6432852,7.197,2011,11,18,4
13,1970341.38,False,75.95,3.606,129.2015806,6.877,2011,12,8,3
8,856796.1,False,86.05,3.638,219.0075249,7.659,2011,12,8,3
4,2771397.17,False,36.44,3.149,129.8980645,5.143,2011,12,16,4
13,2035431.39,False,61.11,3.788,130.9592258,5.965,2012,1,6,4
13,1811606.21,False,32.71,3.835,130.2792258,6.104,2012,1,20,4
10,1990371.02,False,57.62,3.882,130.6457931,7.545,2012,2,3,4
14,2020550.99,False,36.85,3.695,189.8424834,8.424,2012,2,17,4
2,1861802.7,False,54.63,3.555,220.275944,7.057,2012,2,24,4
20,2203523.2,False,39.93,3.617,213.0236225,6.961,2012,3,2,4
1,1677472.78,False,64.74,3.734,221.2118132,7.348,2012,3,16,4
15,570611.23,False,47.42,4.021,137.5843871,7.943,2012,3,16,4
13,2025582.62,False,52.5,3.529,130.8261935,6.104,2012,3,16,4
16,485095.41,False,48.29,3.75,197.4133259,6.162,2012,3,30,4
19,1405007.44,False,50.76,4.124,138.0332,8.15,2012,4,5,3
19,1255087.26,False,55.2,4.17,137.9230667,8.15,2012,4,20,4
7,457340.06,False,39.3,3.936,197.7227385,8.09,2012,4,20,4
18,961186.23,False,50.43,4.023,137.9781333,8.304,2012,4,27,4
7,532739.77,False,50.6,3.804,197.5886046,8.09,2012,5,25,4
2,1799520.14,False,46.75,3.735,219.355063,7.057,2012,6,1,4
10,1805999.79,False,86.87,3.666,130.7196333,7.17,2012,6,7,3
3,419497.95,False,82.7,3.346,225.3068615,6.664,2012,6,22,4
7,597876.55,True,57.84,3.596,198.0950484,7.872,2012,7,9,0
7,563460.77,True,18.79,3.103,196.9195056,8.256,2012,10,2,1
3,424513.08,False,73.44,3.594,226.9688442,6.034,2012,10,19,4
1,1508068.77,False,67.97,3.594,223.4257233,7.659,2012,10,19,4
5,313358.15,False,69.17,3.594,224.0192873,5.422,2012,10,19,4
3,431985.36,False,75.19,3.688,225.2351496,6.664,2012,11,5,0
18,1074079.0,False,50.97,4.029,138.9117,8.243,2012,12,10,0
17,919878.34,False,44.82,3.797,131.1083333,5.527,2012,12,10,0
